"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHN","QGDP","TOT","PC_CHGPY","Q","2011-Q2",10,
"CHN","QGDP","TOT","PC_CHGPY","Q","2011-Q3",9.4,
"CHN","QGDP","TOT","PC_CHGPY","Q","2011-Q4",8.8,
"CHN","QGDP","TOT","PC_CHGPY","Q","2012-Q1",8.1,
"CHN","QGDP","TOT","PC_CHGPY","Q","2012-Q2",7.7,
"CHN","QGDP","TOT","PC_CHGPY","Q","2012-Q3",7.5,
"CHN","QGDP","TOT","PC_CHGPY","Q","2012-Q4",8.1,
"CHN","QGDP","TOT","PC_CHGPY","Q","2013-Q1",7.9,
"CHN","QGDP","TOT","PC_CHGPY","Q","2013-Q2",7.6,
"CHN","QGDP","TOT","PC_CHGPY","Q","2013-Q3",7.9,
"CHN","QGDP","TOT","PC_CHGPY","Q","2013-Q4",7.7,
"CHN","QGDP","TOT","PC_CHGPY","Q","2014-Q1",7.5,
"CHN","QGDP","TOT","PC_CHGPY","Q","2014-Q2",7.6,
"CHN","QGDP","TOT","PC_CHGPY","Q","2014-Q3",7.2,
"CHN","QGDP","TOT","PC_CHGPY","Q","2014-Q4",7.3,
"CHN","QGDP","TOT","PC_CHGPY","Q","2015-Q1",7.1,
"CHN","QGDP","TOT","PC_CHGPY","Q","2015-Q2",7.1,
"CHN","QGDP","TOT","PC_CHGPY","Q","2015-Q3",7,
"CHN","QGDP","TOT","PC_CHGPY","Q","2015-Q4",6.9,
"CHN","QGDP","TOT","PC_CHGPY","Q","2016-Q1",6.9,
"CHN","QGDP","TOT","PC_CHGPY","Q","2016-Q2",6.8,
"CHN","QGDP","TOT","PC_CHGPY","Q","2016-Q3",6.8,
"CHN","QGDP","TOT","PC_CHGPY","Q","2016-Q4",6.9,
"CHN","QGDP","TOT","PC_CHGPY","Q","2017-Q1",7,
"CHN","QGDP","TOT","PC_CHGPY","Q","2017-Q2",7,
"CHN","QGDP","TOT","PC_CHGPY","Q","2017-Q3",6.9,
"CHN","QGDP","TOT","PC_CHGPY","Q","2017-Q4",6.8,
"CHN","QGDP","TOT","PC_CHGPY","Q","2018-Q1",6.9,
"CHN","QGDP","TOT","PC_CHGPY","Q","2018-Q2",6.9,
"CHN","QGDP","TOT","PC_CHGPY","Q","2018-Q3",6.7,
"CHN","QGDP","TOT","PC_CHGPY","Q","2018-Q4",6.5,
"CHN","QGDP","TOT","PC_CHGPY","Q","2019-Q1",6.3,
"CHN","QGDP","TOT","PC_CHGPY","Q","2019-Q2",6,
"CHN","QGDP","TOT","PC_CHGPY","Q","2019-Q3",5.9,
"CHN","QGDP","TOT","PC_CHGPY","Q","2019-Q4",5.8,
"CHN","QGDP","TOT","PC_CHGPY","Q","2020-Q1",-6.9,
"CHN","QGDP","TOT","PC_CHGPY","Q","2020-Q2",3.1,
"CHN","QGDP","TOT","PC_CHGPY","Q","2020-Q3",4.8,
"CHN","QGDP","TOT","PC_CHGPY","Q","2020-Q4",6.4,
"CHN","QGDP","TOT","PC_CHGPY","Q","2021-Q1",18.7,
"CHN","QGDP","TOT","PC_CHGPY","Q","2021-Q2",8.3,
"CHN","QGDP","TOT","PC_CHGPY","Q","2021-Q3",5.2,
"CHN","QGDP","TOT","PC_CHGPY","Q","2021-Q4",4.3,
"CHN","QGDP","TOT","PC_CHGPY","Q","2022-Q1",4.8,
"CHN","QGDP","TOT","PC_CHGPY","Q","2022-Q2",0.4,
"CHN","QGDP","TOT","PC_CHGPY","Q","2022-Q3",3.9,
"CHN","QGDP","TOT","PC_CHGPY","Q","2022-Q4",2.9,
"ITA","QGDP","TOT","PC_CHGPY","Q","1961-Q1",6.72839745,"E"
"ITA","QGDP","TOT","PC_CHGPY","Q","1961-Q2",7.409878847,"E"
"ITA","QGDP","TOT","PC_CHGPY","Q","1961-Q3",8.322359036,"E"
"ITA","QGDP","TOT","PC_CHGPY","Q","1961-Q4",10.310053935,"E"
"ITA","QGDP","TOT","PC_CHGPY","Q","1962-Q1",8.070639273,"E"
"ITA","QGDP","TOT","PC_CHGPY","Q","1962-Q2",6.971203447,"E"
"ITA","QGDP","TOT","PC_CHGPY","Q","1962-Q3",5.162466069,"E"
"ITA","QGDP","TOT","PC_CHGPY","Q","1962-Q4",4.737786642,"E"
"ITA","QGDP","TOT","PC_CHGPY","Q","1963-Q1",3.895479919,"E"
"ITA","QGDP","TOT","PC_CHGPY","Q","1963-Q2",5.606665596,"E"
"ITA","QGDP","TOT","PC_CHGPY","Q","1963-Q3",6.6994012,"E"
"ITA","QGDP","TOT","PC_CHGPY","Q","1963-Q4",6.201995409,"E"
"ITA","QGDP","TOT","PC_CHGPY","Q","1964-Q1",7.065479318,"E"
"ITA","QGDP","TOT","PC_CHGPY","Q","1964-Q2",3.154238769,"E"
"ITA","QGDP","TOT","PC_CHGPY","Q","1964-Q3",1.31708484,"E"
"ITA","QGDP","TOT","PC_CHGPY","Q","1964-Q4",-0.133944496,"E"
"ITA","QGDP","TOT","PC_CHGPY","Q","1965-Q1",-0.263976118,"E"
